Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,42.34,42.5,41.97,42.4,16084100,34.13,0.0,34.13,34.13
2016-01-05,2016,1,5,Tuesday,01,2016-01,42.31,42.63,42.17,42.55,15781900,34.25,0.003537645296345593,34.19,34.19
2016-01-06,2016,1,6,Wednesday,01,2016-01,42.2,42.51,42.04,42.32,16245100,34.06,-0.005405156155205204,34.14666666666667,34.14666666666667
2016-01-07,2016,1,7,Thursday,01,2016-01,41.65,42.11,41.45,41.62,20563600,33.5,-0.016540888602704418,33.985,33.985
2016-01-08,2016,1,8,Friday,01,2016-01,41.65,42.12,41.41,41.51,14645900,33.41,-0.0026430065711353645,33.87,33.87
2016-01-11,2016,1,11,Monday,02,2016-02,41.58,41.86,41.29,41.58,15815200,33.47,0.0016865260474767663,33.803333333333335,33.803333333333335
2016-01-12,2016,1,12,Tuesday,02,2016-02,42.3,42.45,41.87,42.12,21814800,33.9,0.012986679933733036,33.817142857142855,33.817142857142855
2016-01-13,2016,1,13,Wednesday,02,2016-02,42.17,42.57,41.79,41.85,16854300,33.69,-0.006409869092083409,33.801249999999996,33.801249999999996
2016-01-14,2016,1,14,Thursday,02,2016-02,41.99,42.17,41.64,41.88,16028000,33.71,0.0007168274507995953,33.791111111111114,33.791111111111114
2016-01-15,2016,1,15,Friday,02,2016-02,40.95,41.59,40.93,41.5,21153600,33.4,-0.009073649864143607,33.751999999999995,33.751999999999995
2016-01-19,2016,1,19,Tuesday,03,2016-03,41.77,42.12,41.65,41.92,15462200,33.74,0.010120223042315857,33.75090909090909,33.75090909090909
2016-01-20,2016,1,20,Wednesday,03,2016-03,41.45,41.62,40.75,41.38,19923500,33.31,-0.01288146622675157,33.714166666666664,33.714166666666664
2016-01-21,2016,1,21,Thursday,03,2016-03,41.45,41.51,41.09,41.39,15568900,33.32,0.00024154193776193544,33.683846153846154,33.683846153846154
2016-01-22,2016,1,22,Friday,03,2016-03,41.64,42.24,41.45,42.06,15209200,33.86,0.01618764593212907,33.69642857142857,33.69642857142857
2016-01-25,2016,1,25,Monday,04,2016-04,42.24,42.5,41.93,42.16,12505200,33.94,0.0023773823824460028,33.682857142857145,33.712666666666664
2016-01-26,2016,1,26,Tuesday,04,2016-04,42.16,42.5,41.93,42.08,13018500,33.87,-0.0018972601800407718,33.65571428571429,33.7225
2016-01-27,2016,1,27,Wednesday,04,2016-04,42.18,42.46,41.81,42.09,14167000,33.88,0.00023763648330432652,33.642857142857146,33.731764705882355
