Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,200.49,201.03,198.59,201.02,222353500,178.05,0.0,178.05,178.05
2016-01-05,2016,1,5,Tuesday,01,2016-01,201.4,201.9,200.05,201.36,110845800,178.35,0.0016915239038088892,178.2,178.2
2016-01-06,2016,1,6,Wednesday,01,2016-01,198.34,200.06,197.6,198.82,152112600,176.1,-0.012614272516949576,177.5,177.5
2016-01-07,2016,1,7,Thursday,01,2016-01,195.33,197.44,193.59,194.05,213436100,171.88,-0.02399154878614307,176.095,176.095
2016-01-08,2016,1,8,Friday,01,2016-01,195.19,195.85,191.58,191.92,209817200,169.99,-0.010976657324956562,174.874,174.874
2016-01-11,2016,1,11,Monday,02,2016-02,193.01,193.41,189.82,192.11,187941300,170.16,0.0009900783023577553,174.08833333333334,174.08833333333334
2016-01-12,2016,1,12,Tuesday,02,2016-02,193.82,194.55,191.14,193.66,172330500,171.53,0.008068375706616226,173.72285714285712,173.72285714285712
2016-01-13,2016,1,13,Wednesday,02,2016-02,194.45,194.86,188.38,188.83,221168900,167.25,-0.024940804363246416,172.91375,172.91375
2016-01-14,2016,1,14,Thursday,02,2016-02,189.55,193.26,187.66,191.93,240795600,170.0,0.016416959328684477,172.59,172.59
2016-01-15,2016,1,15,Friday,02,2016-02,186.77,188.76,185.52,187.81,324846400,166.35,-0.021466255528845735,171.966,171.966
2016-01-19,2016,1,19,Tuesday,03,2016-03,189.96,190.11,186.2,188.06,195244400,166.57,0.0013314124547925132,171.47545454545454,171.47545454545454
2016-01-20,2016,1,20,Wednesday,03,2016-03,185.03,187.5,181.02,185.65,286547800,164.44,-0.01281513045745275,170.88916666666668,170.88916666666668
2016-01-21,2016,1,21,Thursday,03,2016-03,186.21,188.87,184.64,186.69,195772900,165.36,0.005601779786249317,170.46384615384616,170.46384615384616
2016-01-22,2016,1,22,Friday,03,2016-03,189.78,190.76,188.88,190.52,168319600,168.75,0.020515195106221462,170.3414285714286,170.3414285714286
2016-01-25,2016,1,25,Monday,04,2016-04,189.92,190.15,187.41,187.64,130371700,166.2,-0.015116465696409342,169.49499999999998,170.06533333333334
2016-01-26,2016,1,26,Tuesday,04,2016-04,188.42,190.53,188.02,190.2,141036800,168.47,0.013643205967487582,168.78928571428568,169.965625
2016-01-27,2016,1,27,Wednesday,04,2016-04,189.58,191.56,187.06,188.13,185681700,166.63,-0.010883195626070874,168.11285714285714,169.76941176470586
